Vehicle ID, Date Depart, Date Arrived, Depart Port, Arrived Port, Status
btr-01,2023-09-23 14:51:21,2023-09-23 15:50:50,p-01,p-02,Landed
btr-01,2023-09-23 16:51:21,2023-09-23 17:25:50,p-01,p-02,Landed
btr-03,2023-09-23 17:44:17,2023-09-23 17:53:14,p-01,p-02,Landed
btr-02,2023-09-23 17:51:14,2023-09-23 17:53:41,p-01,p-02,Landed
btr-01,2023-09-23 21:19:33,2023-09-24 13:13:43,p-02,p-04,Landed
btr-01,2023-09-23 22:13:04,2023-09-24 00:03:52,p-01,p-02,Landed
btr-01,2023-09-23 22:17:35,2023-09-24 13:18:35,p-01,p-02,Landed
btr-01,2023-09-23 22:18:39,2023-09-24 13:18:38,p-01,p-02,Landed
btr-01,2023-09-23 22:19:05,2023-09-24 13:18:40,p-01,p-02,Landed
btr-01,2023-09-23 23:49:47,2023-09-24 13:18:42,p-01,p-02,Landed
btr-02,2023-09-24 13:09:22,2023-09-24 13:14:35,p-01,p-04,Landed
s-10,2023-09-24 13:11:07,2023-09-24 13:39:00,p-01,p-03,Landed
btr-01,2023-09-24 13:15:17,2023-09-24 13:29:06,p-04,p-06,Landed
btr-02,2023-09-24 13:15:31,2023-09-24 13:40:38,p-04,p-05,Landed
s-03,2023-09-24 13:16:31,2023-09-24 13:39:04,p-04,p-03,Landed
btr-01,2023-09-24 13:35:16,2023-09-24 13:44:07,p-06,p-04,Landed
btr-07,2023-09-24 13:36:02,2023-09-24 13:37:09,p-01,p-02,Landed
s-06,2023-09-24 13:38:13,2023-09-24 13:41:40,p-02,p-06,Landed
btr-02,2023-09-24 13:41:10,2023-09-24 13:46:30,p-05,p-02,Landed
btr-01,2023-09-24 13:44:36,2023-09-24 13:46:27,p-04,p-02,Landed
btr-07,2023-09-24 13:48:11,2023-09-24 13:48:59,p-02,p-04,Landed
btr-03,2023-09-24 13:49:38,2023-09-24 13:49:50,p-04,p-02,Landed
s-06,2023-09-24 13:54:07,2023-09-24 13:54:35,p-06,p-03,Landed
s-10,2023-09-24 13:55:04,2023-09-24 13:55:22,p-03,p-01,Landed
s-01,2023-09-24 13:56:26,2023-09-24 13:56:44,p-01,p-06,Landed
