#ID, Name, Carrying Capacity, Current Fuel, Fuel Capacity, Current Port ID
btr-01, Reefer Truck 1, 7000kg,32293.140978213407L, 100000L,p-02
btr-02, Normal Truck 1, 7000kg,52722.424510724384L, 100000L,p-02
btr-03, Tanker Truck 1, 7000kg,77691.31498458431L, 100000L,p-02
btr-04, Reefer Truck 2, 7000kg,100000L, 100000L,p-03
btr-05, Normal Truck 2, 7000kg,100000L, 100000L,p-05
btr-06, Tanker Truck 2, 7000kg,100000L, 100000L,p-06
btr-07, Reefer Truck 3, 7000kg,40126.099113848046L, 100000L,p-04
btr-08, Normal Truck 3, 7000kg,100000L, 100000L,p-04
btr-09, Tanker Truck 3, 7000kg,100000L, 100000L,p-03
s-01, Ship 1, 9000kg,6116.481286768772L, 200000L,p-06
s-02, Ship 2, 8000kg, 200000L, 200000L, p-03
s-03, Ship 3, 9000kg,182321.41942174608L, 200000L,p-03
s-04, Ship 4, 8000kg, 200000L, 200000L, p-06
s-05, Ship 5, 9000kg, 200000L, 200000L, p-05
s-06, Ship 6, 8000kg,8035.870035274042L, 200000L,p-03
s-07, Ship 7, 9000kg, 200000L, 200000L, p-02
s-08, Ship 8, 8000kg, 200000L, 200000L, p-04
s-09, Ship 9, 9000kg, 200000L, 200000L, p-05
s-10, Ship 10, 8000kg,108513.34550753154L, 200000L,p-01
s-11, Ship 11, 8000kg,200000L, 200000L, p-01
